;Выжившие;КлассПассажира;Пол;Возраст;Сибсп;Пергамент;Билет;Стоимость;Купе;Погружены
150;0;2;male;1971.0;0;0;S.O.P. 1166;12.525;B96 B98;S
151;1;1;female;2000.0;1;0;113776;66.6;C2;S
152;0;3;male;1966.5;0;0;A.5. 11206;8.05;B96 B98;S
153;0;3;male;1981.5;0;2;A/5. 851;14.5;B96 B98;S
154;0;3;male;1992.3008823529412;0;0;Fa 265302;7.3125;B96 B98;S
155;0;1;male;1971.0;0;1;PC 17597;61.3792;B96 B98;C
156;1;3;female;2006.0;0;0;35851;7.7333;B96 B98;Q
157;0;3;male;1992.0;0;0;SOTON/OQ 392090;8.05;B96 B98;S
158;0;3;male;1992.3008823529412;0;0;315037;8.6625;B96 B98;S
159;0;3;male;1992.3008823529412;8;2;CA. 2343;69.55;B96 B98;S
160;0;3;male;1978.0;0;1;371362;16.1;B96 B98;S
161;1;2;female;1982.0;0;0;C.A. 33595;15.75;B96 B98;S
162;0;3;male;1996.0;0;0;347068;7.775;B96 B98;S
163;0;3;male;2005.0;0;0;315093;8.6625;B96 B98;S
164;0;3;male;2021.0;4;1;3101295;39.6875;B96 B98;S
165;1;3;male;2013.0;0;2;363291;20.525;B96 B98;S
166;1;1;female;1992.3008823529412;0;1;113505;55.0;E33;S
167;0;3;female;1977.0;1;4;347088;27.9;B96 B98;S
168;0;1;male;1992.3008823529412;0;0;PC 17318;25.925;B96 B98;S
169;0;3;male;1994.0;0;0;1601;56.4958;B96 B98;S
170;0;1;male;1961.0;0;0;111240;33.5;B19;S
171;0;3;male;2018.0;4;1;382652;29.125;B96 B98;Q
172;1;3;female;2021.0;1;1;347742;11.1333;B96 B98;S
173;0;3;male;2001.0;0;0;STON/O 2. 3101280;7.925;B96 B98;S
174;0;1;male;1966.0;0;0;17764;30.6958;A7;C
175;0;3;male;2004.0;1;1;350404;7.8542;B96 B98;S
176;0;3;male;1992.3008823529412;3;1;4133;25.4667;B96 B98;S
177;0;1;female;1972.0;0;0;PC 17595;28.7125;C49;C
178;0;2;male;1992.0;0;0;250653;13.0;B96 B98;S
179;0;3;male;1986.0;0;0;LINE;0.0;B96 B98;S
180;0;3;female;1992.3008823529412;8;2;CA. 2343;69.55;B96 B98;S
181;0;2;male;1992.3008823529412;0;0;SC/PARIS 2131;15.05;B96 B98;C
182;0;3;male;2013.0;4;2;347077;31.3875;B96 B98;S
183;1;2;male;2021.0;2;1;230136;39.0;F4;S
184;1;3;female;2018.0;0;2;315153;22.025;B96 B98;S
185;0;1;male;1992.3008823529412;0;0;113767;50.0;A32;S
186;1;3;female;1992.3008823529412;1;0;370365;15.5;B96 B98;Q
187;1;1;male;1977.0;0;0;111428;26.55;B96 B98;S
188;0;3;male;1982.0;1;1;364849;15.5;B96 B98;Q
189;0;3;male;1986.0;0;0;349247;7.8958;B96 B98;S
190;1;2;female;1990.0;0;0;234604;13.0;B96 B98;S
191;0;2;male;2003.0;0;0;28424;13.0;B96 B98;S
192;1;3;female;2003.0;1;0;350046;7.8542;B96 B98;S
193;1;2;male;2019.0;1;1;230080;26.0;F2;S
194;1;1;female;1978.0;0;0;PC 17610;27.7208;B4;C
195;1;1;female;1964.0;0;0;PC 17569;146.5208;B80;C
196;0;3;male;1992.3008823529412;0;0;368703;7.75;B96 B98;Q
197;0;3;male;1980.0;0;1;4579;8.4042;B96 B98;S
198;1;3;female;1992.3008823529412;0;0;370370;7.75;B96 B98;Q
199;0;2;female;1998.0;0;0;248747;13.0;B96 B98;S
200;0;3;male;1994.0;0;0;345770;9.5;B96 B98;S
201;0;3;male;1992.3008823529412;8;2;CA. 2343;69.55;B96 B98;S
202;0;3;male;1988.0;0;0;3101264;6.4958;B96 B98;S
203;0;3;male;1976.5;0;0;2628;7.225;B96 B98;C
204;1;3;male;2004.0;0;0;A/5 3540;8.05;B96 B98;S
205;0;3;female;2020.0;0;1;347054;10.4625;G6;S
206;0;3;male;1990.0;1;0;3101278;15.85;B96 B98;S
207;1;3;male;1996.0;0;0;2699;18.7875;B96 B98;C
208;1;3;female;2006.0;0;0;367231;7.75;B96 B98;Q
209;1;1;male;1982.0;0;0;112277;31.0;A31;C
210;0;3;male;1998.0;0;0;SOTON/O.Q. 3101311;7.05;B96 B98;S
211;1;2;female;1987.0;0;0;F.C.C. 13528;21.0;B96 B98;S
212;0;3;male;2000.0;0;0;A/5 21174;7.25;B96 B98;S
213;0;2;male;1992.0;0;0;250646;13.0;B96 B98;S
214;0;3;male;1992.3008823529412;1;0;367229;7.75;B96 B98;Q
215;1;1;female;1991.0;1;0;35273;113.275;D36;C
216;1;3;female;1995.0;0;0;STON/O2. 3101283;7.925;B96 B98;S
217;0;2;male;1980.0;1;0;243847;27.0;B96 B98;S
218;1;1;female;1990.0;0;0;11813;76.2917;D15;C
219;0;2;male;1992.0;0;0;W/C 14208;10.5;B96 B98;S
220;1;3;male;2006.0;0;0;SOTON/OQ 392089;8.05;B96 B98;S
221;0;2;male;1995.0;0;0;220367;13.0;B96 B98;S
222;0;3;male;1971.0;0;0;21440;8.05;B96 B98;S
223;0;3;male;1992.3008823529412;0;0;349234;7.8958;B96 B98;S
224;1;1;male;1984.0;1;0;19943;90.0;C93;S
225;0;3;male;2000.0;0;0;PP 4348;9.35;B96 B98;S
226;1;2;male;2003.0;0;0;SW/PP 751;10.5;B96 B98;S
227;0;3;male;2001.5;0;0;A/5 21173;7.25;B96 B98;S
228;0;2;male;2004.0;0;0;236171;13.0;B96 B98;S
229;0;3;female;1992.3008823529412;3;1;4133;25.4667;B96 B98;S
230;1;1;female;1987.0;1;0;36973;83.475;C83;S
231;0;3;male;1993.0;0;0;347067;7.775;B96 B98;S
232;0;2;male;1963.0;0;0;237442;13.5;B96 B98;S
233;1;3;female;2017.0;4;2;347077;31.3875;B96 B98;S
234;0;2;male;1998.0;0;0;C.A. 29566;10.5;B96 B98;S
235;0;3;female;1992.3008823529412;0;0;W./C. 6609;7.55;B96 B98;S
236;0;2;male;1978.0;1;0;26707;26.0;B96 B98;S
237;1;2;female;2014.0;0;2;C.A. 31921;26.25;B96 B98;S
238;0;2;male;2003.0;0;0;28665;10.5;B96 B98;S
239;0;2;male;1989.0;0;0;SCO/W 1585;12.275;B96 B98;S
240;0;3;female;1992.3008823529412;1;0;2665;14.4542;B96 B98;C
241;1;3;female;1992.3008823529412;1;0;367230;15.5;B96 B98;Q
242;0;2;male;1993.0;0;0;W./C. 14263;10.5;B96 B98;S
243;0;3;male;2000.0;0;0;STON/O 2. 3101275;7.125;B96 B98;S
244;0;3;male;1992.0;0;0;2694;7.225;B96 B98;C
245;0;1;male;1978.0;2;0;19928;90.0;C78;Q
246;0;3;female;1997.0;0;0;347071;7.775;B96 B98;S
247;1;2;female;1998.0;0;2;250649;14.5;B96 B98;S
248;1;1;male;1985.0;1;1;11751;52.5542;D35;S
249;0;2;male;1968.0;1;0;244252;26.0;B96 B98;S
250;0;3;male;1992.3008823529412;0;0;362316;7.25;B96 B98;S
251;0;3;female;1993.0;1;1;347054;10.4625;G6;S
252;0;1;male;1960.0;0;0;113514;26.55;C87;S
253;0;3;male;1992.0;1;0;A/5. 3336;16.1;B96 B98;S
254;0;3;female;1981.0;0;2;370129;20.2125;B96 B98;S
255;1;3;female;1993.0;0;2;2650;15.2458;B96 B98;C
256;1;1;female;1992.3008823529412;0;0;PC 17585;79.2;B96 B98;C
257;1;1;female;1992.0;0;0;110152;86.5;B77;S
258;1;1;female;1987.0;0;0;PC 17755;512.3292;B96 B98;C
259;1;2;female;1972.0;0;1;230433;26.0;B96 B98;S
260;0;3;male;1992.3008823529412;0;0;384461;7.75;B96 B98;Q
261;1;3;male;2019.0;4;2;347077;31.3875;B96 B98;S
262;0;1;male;1970.0;1;1;110413;79.65;E67;S
263;0;1;male;1982.0;0;0;112059;0.0;B94;S
264;0;3;female;1992.3008823529412;0;0;382649;7.75;B96 B98;Q
265;0;2;male;1986.0;0;0;C.A. 17248;10.5;B96 B98;S
266;0;3;male;2006.0;4;1;3101295;39.6875;B96 B98;S
267;1;3;male;1997.0;1;0;347083;7.775;B96 B98;S
268;1;1;female;1964.0;0;1;PC 17582;153.4625;C125;S
269;1;1;female;1987.0;0;0;PC 17760;135.6333;C99;S
270;0;1;male;1992.3008823529412;0;0;113798;31.0;B96 B98;S
271;1;3;male;1997.0;0;0;LINE;0.0;B96 B98;S
272;1;2;female;1981.0;0;1;250644;19.5;B96 B98;S
273;0;1;male;1985.0;0;1;PC 17596;29.7;C118;C
274;1;3;female;1992.3008823529412;0;0;370375;7.75;B96 B98;Q
275;1;1;female;1959.0;1;0;13502;77.9583;D7;S
276;0;3;female;1977.0;0;0;347073;7.75;B96 B98;S
277;0;2;male;1992.3008823529412;0;0;239853;0.0;B96 B98;S
278;0;3;male;2015.0;4;1;382652;29.125;B96 B98;Q
279;1;3;female;1987.0;1;1;C.A. 2673;20.25;B96 B98;S
280;0;3;male;1957.0;0;0;336439;7.75;B96 B98;Q
281;0;3;male;1994.0;0;0;347464;7.8542;B96 B98;S
282;0;3;male;2006.0;0;0;345778;9.5;B96 B98;S
283;1;3;male;2003.0;0;0;A/5. 10482;8.05;B96 B98;S
284;0;1;male;1992.3008823529412;0;0;113056;26.0;A19;S
285;0;3;male;1989.0;0;0;349239;8.6625;B96 B98;C
286;1;3;male;1992.0;0;0;345774;9.5;B96 B98;S
287;0;3;male;2000.0;0;0;349206;7.8958;B96 B98;S
288;1;2;male;1980.0;0;0;237798;13.0;B96 B98;S
289;1;3;female;2000.0;0;0;370373;7.75;B96 B98;Q
290;1;1;female;1996.0;0;0;19877;78.85;B96 B98;S
291;1;1;female;2003.0;1;0;11967;91.0792;B49;C
292;0;2;male;1986.0;0;0;SC/Paris 2163;12.875;D;C
293;0;3;female;1998.0;0;0;349236;8.85;B96 B98;S
294;0;3;male;1998.0;0;0;349233;7.8958;B96 B98;S
295;0;1;male;1992.3008823529412;0;0;PC 17612;27.7208;B96 B98;C
296;0;3;male;1998.5;0;0;2693;7.2292;B96 B98;C
297;0;1;female;2020.0;1;2;113781;151.55;C22 C26;S
298;1;1;male;1992.3008823529412;0;0;19988;30.5;C106;S
299;1;1;female;1972.0;0;1;PC 17558;247.5208;B58 B60;C
300;1;3;female;1992.3008823529412;0;0;9234;7.75;B96 B98;Q
301;1;3;male;1992.3008823529412;2;0;367226;23.25;B96 B98;Q
302;0;3;male;2003.0;0;0;LINE;0.0;B96 B98;S
303;1;2;female;1992.3008823529412;0;0;226593;12.35;E101;Q
304;0;3;male;1992.3008823529412;0;0;A/5 2466;8.05;B96 B98;S
305;1;1;male;2021.08;1;2;113781;151.55;C22 C26;S
306;1;1;female;1992.3008823529412;0;0;17421;110.8833;B96 B98;C
307;1;1;female;2005.0;1;0;PC 17758;108.9;C65;C
308;0;2;male;1992.0;1;0;P/PP 3381;24.0;B96 B98;C
309;1;1;female;1992.0;0;0;PC 17485;56.9292;E36;C
310;1;1;female;1998.0;0;0;11767;83.1583;C54;C
311;1;1;female;2004.0;2;2;PC 17608;262.375;B57 B59 B63 B66;C
312;0;2;female;1996.0;1;1;250651;26.0;B96 B98;S
313;0;3;male;1994.0;0;0;349243;7.8958;B96 B98;S
314;0;2;male;1979.0;1;1;F.C.C. 13529;26.25;B96 B98;S
315;1;3;female;1996.0;0;0;347470;7.8542;B96 B98;S
316;1;2;female;1998.0;1;0;244367;26.0;B96 B98;S
317;0;2;male;1968.0;0;0;29011;14.0;B96 B98;S
318;1;1;female;1991.0;0;2;36928;164.8667;C7;S
319;1;1;female;1982.0;1;1;16966;134.5;E34;C
320;0;3;male;2000.0;0;0;A/5 21172;7.25;B96 B98;S
321;0;3;male;1995.0;0;0;349219;7.8958;B96 B98;S
322;1;2;female;1992.0;0;0;234818;12.35;B96 B98;Q
323;1;2;female;2000.0;1;1;248738;29.0;B96 B98;S
324;0;3;male;1992.3008823529412;8;2;CA. 2343;69.55;B96 B98;S
325;1;1;female;1986.0;0;0;PC 17760;135.6333;C32;C
326;0;3;male;1961.0;0;0;345364;6.2375;B96 B98;S
327;1;2;female;1986.0;0;0;28551;13.0;D;S
328;1;3;female;1991.0;1;1;363291;20.525;B96 B98;S
329;1;1;female;2006.0;0;1;111361;57.9792;B18;C
330;1;3;female;1992.3008823529412;2;0;367226;23.25;B96 B98;Q
331;0;1;male;1976.5;0;0;113043;28.5;C124;S
332;0;1;male;1984.0;0;1;PC 17582;153.4625;C91;S
333;0;3;male;2006.0;2;0;345764;18.0;B96 B98;S
334;1;1;female;1992.3008823529412;1;0;PC 17611;133.65;B96 B98;S
335;0;3;male;1992.3008823529412;0;0;349225;7.8958;B96 B98;S
336;0;1;male;1993.0;1;0;113776;66.6;C2;S
337;1;1;female;1981.0;0;0;16966;134.5;E40;C
338;1;3;male;1977.0;0;0;7598;8.05;B96 B98;S
339;0;1;male;1977.0;0;0;113784;35.5;T;S
340;1;2;male;2020.0;1;1;230080;26.0;F2;S
341;1;1;female;1998.0;3;2;19950;263.0;C23 C25 C27;S
342;0;2;male;1994.0;0;0;248740;13.0;B96 B98;S
343;0;2;male;1997.0;0;0;244361;13.0;B96 B98;S
344;0;2;male;1986.0;0;0;229236;13.0;B96 B98;S
345;1;2;female;1998.0;0;0;248733;13.0;F33;S
346;1;2;female;1982.0;0;0;31418;13.0;B96 B98;S
347;1;3;female;1992.3008823529412;1;0;386525;16.1;B96 B98;S
348;1;3;male;2019.0;1;1;C.A. 37671;15.9;B96 B98;S
349;0;3;male;1980.0;0;0;315088;8.6625;B96 B98;S
350;0;3;male;1999.0;0;0;7267;9.225;B96 B98;S
351;0;1;male;1992.3008823529412;0;0;113510;35.0;C128;S
352;0;3;male;2007.0;1;1;2695;7.2292;B96 B98;C
353;0;3;male;1997.0;1;0;349237;17.8;B96 B98;S
354;0;3;male;1992.3008823529412;0;0;2647;7.225;B96 B98;C
355;0;3;male;1994.0;0;0;345783;9.5;B96 B98;S
356;1;1;female;2000.0;0;1;113505;55.0;E33;S
357;0;2;female;1984.0;0;0;237671;13.0;B96 B98;S
358;1;3;female;1992.3008823529412;0;0;330931;7.8792;B96 B98;Q
359;1;3;female;1992.3008823529412;0;0;330980;7.8792;B96 B98;Q
360;0;3;male;1982.0;1;4;347088;27.9;B96 B98;S
361;0;2;male;1993.0;1;0;SC/PARIS 2167;27.7208;B96 B98;C
362;0;3;female;1977.0;0;1;2691;14.4542;B96 B98;C
363;0;3;male;1987.0;0;0;SOTON/O.Q. 3101310;7.05;B96 B98;S
364;0;3;male;1992.3008823529412;1;0;370365;15.5;B96 B98;Q
365;0;3;male;1992.0;0;0;C 7076;7.25;B96 B98;S
366;1;1;female;1962.0;1;0;110813;75.25;D37;C
367;1;3;female;1992.3008823529412;0;0;2626;7.2292;B96 B98;C
368;1;3;female;1992.3008823529412;0;0;14313;7.75;B96 B98;Q
369;1;1;female;1998.0;0;0;PC 17477;69.3;B35;C
370;1;1;male;1997.0;1;0;11765;55.4417;E50;C
371;0;3;male;2004.0;1;0;3101267;6.4958;B96 B98;S
372;0;3;male;2003.0;0;0;323951;8.05;B96 B98;S
373;0;1;male;2000.0;0;0;PC 17760;135.6333;B96 B98;C
374;0;3;female;2019.0;3;1;349909;21.075;B96 B98;S
375;1;1;female;1992.3008823529412;1;0;PC 17604;82.1708;B96 B98;C
376;1;3;female;2000.0;0;0;C 7077;7.25;B96 B98;S
377;0;1;male;1995.0;0;2;113503;211.5;C82;C
378;0;3;male;2002.0;0;0;2648;4.0125;B96 B98;C
379;0;3;male;2003.0;0;0;347069;7.775;B96 B98;S
380;1;1;female;1980.0;0;0;PC 17757;227.525;B96 B98;C
381;1;3;female;2021.0;0;2;2653;15.7417;B96 B98;C
382;0;3;male;1990.0;0;0;STON/O 2. 3101293;7.925;B96 B98;S
383;1;1;female;1987.0;1;0;113789;52.0;B96 B98;S
384;0;3;male;1992.3008823529412;0;0;349227;7.8958;B96 B98;S
385;0;2;male;2004.0;0;0;S.O.C. 14879;73.5;B96 B98;S
386;0;3;male;2021.0;5;2;CA 2144;46.9;B96 B98;S
387;1;2;female;1986.0;0;0;27849;13.0;B96 B98;S
388;0;3;male;1992.3008823529412;0;0;367655;7.7292;B96 B98;Q
389;1;2;female;2005.0;0;0;SC 1748;12.0;B96 B98;C
390;1;1;male;1986.0;1;2;113760;120.0;B96 B98;S
391;1;3;male;2001.0;0;0;350034;7.7958;B96 B98;S
392;0;3;male;1994.0;2;0;3101277;7.925;B96 B98;S
393;1;1;female;1999.0;1;0;35273;113.275;D36;C
394;1;3;female;1998.0;0;2;PP 9549;16.7;G6;S
395;0;3;male;2000.0;0;0;350052;7.7958;B96 B98;S
396;0;3;female;1991.0;0;0;350407;7.8542;B96 B98;S
397;0;2;male;1976.0;0;0;28403;26.0;B96 B98;S
398;0;2;male;1999.0;0;0;244278;10.5;B96 B98;S
399;1;2;female;1994.0;0;0;240929;12.65;B96 B98;S
400;1;3;male;1983.0;0;0;STON/O 2. 3101289;7.925;B96 B98;S
401;0;3;male;1996.0;0;0;341826;8.05;B96 B98;S
402;0;3;female;2001.0;1;0;4137;9.825;B96 B98;S
403;0;3;male;1994.0;1;0;STON/O2. 3101279;15.85;B96 B98;S
404;0;3;female;2002.0;0;0;315096;8.6625;B96 B98;S
405;0;2;male;1988.0;1;0;28664;21.0;B96 B98;S
406;0;3;male;1971.0;0;0;347064;7.75;B96 B98;S
407;1;2;male;2019.0;1;1;29106;18.75;B96 B98;S
